772	8
389.9	189.0	0.0	145.9	22.0	944.7	755.8	3.0	40.6
231.8	0.0	121.6	174.0	6.7	1056.4	778.5	14.0	26.77
362.6	189.0	0.0	164.9	11.6	944.7	755.8	28.0	71.3
160.0	250.0	0.0	168.0	12.0	1049.0	688.0	28.0	39.45
362.6	189.0	0.0	164.9	11.6	944.7	755.8	91.0	79.3
288.0	192.0	0.0	192.0	0.0	932.0	717.8	28.0	38.8
475.0	0.0	0.0	228.0	0.0	932.0	594.0	7.0	38.6
425.0	106.3	0.0	153.5	16.5	852.1	887.1	56.0	64.3
401.8	94.7	0.0	147.4	11.4	946.8	852.1	56.0	73.7
297.2	0.0	117.5	174.8	9.5	1022.8	753.5	100.0	56.74
380.0	0.0	0.0	228.0	0.0	932.0	670.0	180.0	53.1
238.1	0.0	94.1	186.7	7.0	949.9	847.0	100.0	44.3
446.0	24.0	79.0	162.0	11.6	967.0	712.0	3.0	35.36
165.0	0.0	143.6	163.8	0.0	1005.6	900.9	14.0	16.88
250.0	0.0	0.0	182.0	0.0	1100.0	820.0	28.0	20.87
154.8	0.0	142.8	193.3	9.1	877.2	867.7	28.0	9.74
480.0	0.0	0.0	192.0	0.0	936.0	721.0	3.0	24.39
151.8	178.1	138.7	167.5	18.3	944.0	694.6	28.0	36.35
298.0	0.0	107.0	164.0	13.0	953.0	784.0	28.0	35.86
522.0	0.0	0.0	146.0	0.0	896.0	896.0	28.0	74.99
424.0	22.0	132.0	168.0	8.9	822.0	750.0	56.0	74.36
212.0	141.3	0.0	203.5	0.0	973.4	750.0	28.0	33.0
252.5	0.0	0.0	185.7	0.0	1111.6	784.3	28.0	19.77
310.0	143.0	0.0	168.0	10.0	914.0	804.0	28.0	45.3
122.6	183.9	0.0	203.5	0.0	958.2	800.1	28.0	24.29
500.0	0.0	0.0	200.0	0.0	1125.0	613.0	14.0	36.94
362.6	189.0	0.0	164.9	11.6	944.7	755.8	91.0	79.3
289.0	0.0	0.0	192.0	0.0	913.2	895.3	7.0	14.6
190.3	0.0	125.2	166.6	9.9	1079.0	798.9	28.0	24.85
102.0	153.0	0.0	192.0	0.0	887.0	942.0	28.0	17.28
237.5	237.5	0.0	228.0	0.0	932.0	594.0	180.0	36.25
200.0	200.0	0.0	190.0	0.0	1145.0	660.0	28.0	49.25
152.0	178.0	139.0	168.0	18.0	944.0	695.0	28.0	36.35
251.4	0.0	118.3	188.5	5.8	1028.4	757.7	100.0	43.58
500.1	0.0	0.0	200.0	3.0	1124.4	613.2	28.0	44.13
237.5	237.5	0.0	228.0	0.0	932.0	594.0	90.0	33.12
